cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,hpp_l1,hpp_l2
10,0,HPP_EN,4,4,0.999999999975,0.8472317093590718,0.10506087520964047,5.345725284596405,0.742926064794129,0.05,0.001
10,0,EN_Fixed,4,4,0.999999999975,0.8628499279976737,0.016555243001278863,5.8743945346264095,0.8163982588543421,,
10,0,Ridge,4,4,0.999999999975,0.8752962113276557,-0.007112206392118736,6.015766924255514,0.836045589666558,,
10,0,Lasso,4,4,0.999999999975,0.777393888740134,0.21401952823629278,4.694884338742591,0.6524749703274277,,
10,1,HPP_EN,4,4,0.999999999975,0.7444034329580433,0.33398975080080884,5.619695531199817,0.559674882139203,0.05,0.001
10,1,EN_Fixed,4,4,0.999999999975,0.9072521201218867,-0.003476336905022581,8.467184240708779,0.8432610478023252,,
10,1,Ridge,4,4,0.999999999975,0.9014121525822899,-0.013700519050657167,8.553454370610053,0.8518528344065226,,
10,1,Lasso,3,4,0.74999999998125,0.8391833957219066,0.21793044787660654,6.598986685925334,0.6572041270169856,,
10,2,HPP_EN,3,4,0.74999999998125,0.8905340249351051,0.1027891106413038,7.453781106891517,0.7514236462426702,0.05,0.001
10,2,EN_Fixed,4,4,0.999999999975,0.9696363588574707,-0.03891091214946929,8.63098589257898,0.8700989198722838,,
10,2,Ridge,4,4,0.999999999975,0.9832726451587872,-0.05111145021658414,8.732344604579872,0.8803170000463517,,
10,2,Lasso,3,4,0.74999999998125,0.8590884340050371,0.22462111059734968,6.441634386139748,0.649388052691811,,
10,3,HPP_EN,3,4,0.74999999998125,0.8732100364429115,0.12625806713752574,1.9708842744572048,0.72614260197685,0.05,0.001
10,3,EN_Fixed,3,4,0.74999999998125,0.9505475171315285,-0.04245502183773775,2.3514474149569335,0.8663553545166008,,
10,3,Ridge,3,4,0.74999999998125,0.9414801497702554,-0.04550847559997373,2.35833503677801,0.8688929949531335,,
10,3,Lasso,3,4,0.74999999998125,0.9441220418304435,0.025964022397336306,2.1971157830590236,0.809494191126099,,
10,4,HPP_EN,2,4,0.4999999999875,0.9168224915473344,0.21867792821667043,3.252166506992681,0.686867135742603,0.05,0.001
10,4,EN_Fixed,1,4,0.24999999999375,0.9788677790312458,0.018843820136109413,4.0839538284118815,0.8625430655517848,,
10,4,Ridge,2,4,0.4999999999875,0.9746612333388254,-0.004313489996581543,4.180343564636387,0.8829008614681857,,
10,4,Lasso,1,4,0.24999999999375,0.9514141005697081,0.20645578900200323,3.3030398065361313,0.6976117263003286,,
10,5,HPP_EN,4,4,0.999999999975,0.8009753522746423,0.09569714328856083,7.423556241820046,0.7401156894985453,0.05,0.001
10,5,EN_Fixed,3,4,0.74999999998125,0.9288547511092072,-0.025893558367208636,8.421712341322444,0.8396301224395525,,
10,5,Ridge,4,4,0.999999999975,0.9236435821388801,-0.0395768100122178,8.53404018304474,0.8508290135529304,,
10,5,Lasso,3,4,0.74999999998125,0.8405503164572131,0.18291418153726147,6.707578642192931,0.6687339638737904,,
