kappa_target,method,mse_mean,mse_std,support_recall_mean,support_precision_mean,rel_err_mean,rel_err_std
50,EN_Dynamic,0.6117506088588799,0.28274932428351573,0.35,0.3583333333333333,0.984922396843191,0.02434920819896079
50,EN_Fixed,0.013575012509233786,0.050999338934043736,1.0,0.6876190476190475,0.03734050001676402,0.11937295861856238
50,Lasso,7.867313399870464e-09,2.0367094873575833e-08,1.0,0.8666666666666666,5.906826393346882e-05,8.231580826400404e-05
50,OMP,0.8420382284850559,2.933610419950405,0.775,0.6875,0.5036732444096725,0.9664026983546156
50,Ridge,0.5583839890245227,1.121343868127523,1.0,0.20000000000000004,0.6734435336413963,0.5727251101876257
100,EN_Dynamic,0.5782859229652613,0.35140126525467813,0.6,0.4352380952380952,0.9384463850177778,0.06517700853071753
100,EN_Fixed,0.0017436980452782715,0.00779364157034798,1.0,0.7426190476190476,0.015990928023462893,0.06949534176925826
100,Lasso,6.985340083719084e-09,2.4605120379350925e-08,1.0,0.8033333333333335,5.222636725462493e-05,9.281370600487321e-05
100,OMP,0.29600960299637813,0.9364830091892371,0.8,0.75,0.3172248883230548,0.6493012943249106
100,Ridge,0.1507824139583192,0.22859536204697303,1.0,0.20000000000000004,0.39842094954052937,0.265040841584022
200,EN_Dynamic,0.5104863993527308,0.3460669805657627,0.4,0.3226190476190476,0.9721992375925032,0.036676538904878105
200,EN_Fixed,0.03570564876480637,0.1595100282519979,1.0,0.6277380952380952,0.044837772819749884,0.19285933806995006
200,Lasso,0.05559231592059366,0.24861221359426638,1.0,0.7902380952380952,0.05420443588627018,0.2410726385638844
200,OMP,0.26625266207648446,0.6377864100274969,0.825,0.7875,0.2943340810613813,0.6541532812560565
200,Ridge,0.1654417271128868,0.16600132076535926,1.0,0.20000000000000004,0.48381297712065063,0.210910007108771
300,EN_Dynamic,0.6630098959960311,0.32996880096625636,0.475,0.34500000000000003,0.9621720369594537,0.04530138444697263
300,EN_Fixed,0.0415219403223132,0.1281015525416097,1.0,0.6034523809523811,0.064626501899165,0.1860105164718787
300,Lasso,0.01395503406333518,0.06234219915055926,1.0,0.7769047619047619,0.029151269697562637,0.12049036030041989
300,OMP,0.357942667167952,0.8031783246777715,0.85,0.8,0.299925025092468,0.5675699024719641
300,Ridge,0.19273948714185185,0.19029020459968293,1.0,0.20000000000000004,0.5053957977185345,0.2562375689877089
500,EN_Dynamic,0.5351352686967018,0.35949819770923364,0.875,0.5583333333333333,0.8927206358027693,0.07740063656003235
500,EN_Fixed,1.50755945080227e-07,3.9229490483527584e-07,1.0,0.700952380952381,0.00020495674257564882,0.0004300037602955483
500,Lasso,1.1917058340119908e-08,5.127745805675787e-08,1.0,0.8583333333333334,5.399644694610853e-05,0.00013151511946028123
500,OMP,0.12437268759595588,0.4526613121416122,0.9,0.875,0.1186161043558774,0.35621305605103404
500,Ridge,0.2715365666624609,0.3149749857062633,1.0,0.20000000000000004,0.5462460882482082,0.2549310962271939
1000,EN_Dynamic,0.1357082983823964,0.23909283133213002,0.875,0.5384523809523809,0.4692355713043529,0.3412083381908239
1000,EN_Fixed,5.632243633059671e-05,0.00017512348225105423,1.0,0.6426190476190475,0.0023524912541135483,0.0069555991445305445
1000,Lasso,3.751453093094121e-09,1.1476527757713173e-08,1.0,0.7916666666666666,9.027395727466364e-05,0.00017055896247182152
1000,OMP,0.04010152398448984,0.12261263496372757,0.9,0.85,0.19720583467040392,0.464473916514168
1000,Ridge,0.2924151461133057,0.5115729835122226,1.0,0.20000000000000004,0.6909515012853935,0.3441973374561102
