kappa_target,method,mse_mean,mse_std,support_recall_mean,support_precision_mean,rel_err_mean,rel_err_std
50,EN_Dynamic,1.1645657765465378,0.5366172203509254,0.68,0.5626825396825398,0.9374789325822447,0.045070623056468084
50,EN_Fixed,0.052671612626449135,0.18249817491697987,0.99,0.6362936507936509,0.07153915877628053,0.17266401106647888
50,Lasso,0.03740778124548474,0.14117560150111927,0.985,0.6821111111111112,0.054256946954912795,0.19430869745084692
50,OMP,1.7065548075946442,3.7631796638716035,0.67,0.67,0.7557771684827831,0.8296959195621711
50,Ridge,0.49702654292462667,0.7575938382547988,1.0,0.39999999999999986,0.5349068273614386,0.3267362462950955
100,EN_Dynamic,1.101540468790829,0.5100963288267488,0.465,0.48048412698412696,0.9553086835265681,0.05110022381981458
100,EN_Fixed,0.05260391633838542,0.16690677060899609,0.99,0.6728253968253971,0.06982238493576101,0.15611905936570497
100,Lasso,0.008968358018439218,0.03739306919270088,1.0,0.7729523809523811,0.022821630221976457,0.07843614175751927
100,OMP,1.0160897748948405,1.6706088878758614,0.69,0.69,0.6472765673955396,0.5850641901653437
100,Ridge,0.32352860391458854,0.2642571966871355,1.0,0.39999999999999986,0.48731195548826983,0.19210556413490368
200,EN_Dynamic,0.9762554061745822,0.4260707202281072,0.545,0.4882063492063493,0.9435766862852837,0.05761568590316933
200,EN_Fixed,0.0880755868652419,0.2501413819179753,1.0,0.6431746031746033,0.14652928271066168,0.26864754964922
200,Lasso,0.07219102582183838,0.2624824868541466,0.995,0.6845396825396827,0.10087895928889123,0.25233824833150786
200,OMP,1.896830555589847,5.029526930201264,0.66,0.66,0.8901345447644675,0.9467356159618844
200,Ridge,0.5107794225325479,1.0807862398320904,1.0,0.39999999999999986,0.5441694797951516,0.34417307937589786
300,EN_Dynamic,0.9417508841741664,0.4187268408731161,0.68,0.6283571428571431,0.9104967954687622,0.06021494526853943
300,EN_Fixed,0.05468679172989487,0.13156227819996752,0.995,0.6376587301587304,0.09409147297523218,0.17183438764842554
300,Lasso,0.04341432424579532,0.14556515049950436,1.0,0.7291111111111108,0.056787172623525534,0.15977106603440241
300,OMP,1.7821540462419327,2.9358259266491444,0.62,0.62,0.9206391090963711,0.7994933257727569
300,Ridge,0.30772539150807443,0.2851898557906668,1.0,0.39999999999999986,0.4685841040217316,0.19526650987304436
500,EN_Dynamic,0.8612011365671283,0.3595156464182482,0.835,0.533968253968254,0.8421421388237992,0.10960503067444186
500,EN_Fixed,0.10040808655325872,0.2628649348862345,0.985,0.6098174603174604,0.14867135772598755,0.2550390856813004
500,Lasso,0.0598040190675419,0.1868472087100417,0.985,0.6679761904761908,0.09767048951560316,0.2251737560834202
500,OMP,1.1256958089524374,1.8159773252088938,0.675,0.675,0.726381864785714,0.7371859344638312
500,Ridge,0.48865033203594666,0.5251948673526403,1.0,0.39999999999999986,0.5730152004697745,0.2858353720821502
1000,EN_Dynamic,0.4226742096628724,0.3939157566906907,0.945,0.6051031746031749,0.5429870727374788,0.2593909395005522
1000,EN_Fixed,0.16044954648816798,0.3898426724076021,0.98,0.6787380952380953,0.19571472802747242,0.32159415293457494
1000,Lasso,0.06741752316160826,0.22702733576751336,0.99,0.7158492063492065,0.09236592125230622,0.22682428254589554
1000,OMP,0.9185903118437021,1.7186730232970653,0.715,0.715,0.5765666066644755,0.6476110089536519
1000,Ridge,0.5560681828959645,0.708598866830422,1.0,0.39999999999999986,0.6240299833375424,0.349532439271449
