cond,trial,method,rec_n,rec_d,recovery_rate,rel_err,r2,mse,nmse,lambda1,lambda2
10,0,sparseho_EN,4,4,0.999999999975,0.817743985663678,0.17331210989577794,4.938041297093819,0.686267885708942,0.001060891771314228,0.00011787686347935863
10,0,HPP_sparseho,4,4,0.999999999975,0.8561963275513452,0.09381867429852375,5.412878140025702,0.7522586817857901,0.001060891771314228,0.00011787686347935863
10,0,EN_manual,4,4,0.999999999975,0.8628499279976737,0.016555243001278863,5.8743945346264095,0.8163982588543421,0.001060891771314228,0.00011787686347935863
10,0,Ridge,4,4,0.999999999975,0.8752962113276557,-0.007112206392118736,6.015766924255514,0.836045589666558,0.001060891771314228,0.00011787686347935863
10,1,sparseho_EN,4,4,0.999999999975,0.6911720116915354,0.37979377145310744,5.233208010204143,0.5211839431620616,9e-05,9.999999999999997e-06
10,1,HPP_sparseho,4,4,0.999999999975,0.730877457379844,0.3449700945574983,5.527045021970116,0.5504476628805469,9e-05,9.999999999999997e-06
10,1,EN_manual,4,4,0.999999999975,0.9072521201218867,-0.003476336905022581,8.467184240708779,0.8432610478023252,9e-05,9.999999999999997e-06
10,1,Ridge,4,4,0.999999999975,0.9014121525822899,-0.013700519050657167,8.553454370610053,0.8518528344065226,9e-05,9.999999999999997e-06
10,2,sparseho_EN,4,4,0.999999999975,0.8441045057270934,0.10377060776387836,7.445627098959287,0.750601631981175,1e-05,9e-05
10,2,HPP_sparseho,3,4,0.74999999998125,0.8907696980791829,0.10407443145498807,7.443103015362577,0.7503471764139318,1e-05,9e-05
10,2,EN_manual,4,4,0.999999999975,0.9696363588574707,-0.03891091214946929,8.63098589257898,0.8700989198722838,1e-05,9e-05
10,2,Ridge,4,4,0.999999999975,0.9832726451587872,-0.05111145021658414,8.732344604579872,0.8803170000463517,1e-05,9e-05
10,3,sparseho_EN,3,4,0.74999999998125,0.8757334846972467,0.14277201994015876,1.933634042250528,0.7124183154272261,0.0054948620669267945,0.0006105402296585326
10,3,HPP_sparseho,3,4,0.74999999998125,0.8730761402489888,0.12670713971170733,1.96987130936848,0.7257693902592615,0.0054948620669267945,0.0006105402296585326
10,3,EN_manual,3,4,0.74999999998125,0.9505475171315285,-0.04245502183773775,2.3514474149569335,0.8663553545166008,0.0054948620669267945,0.0006105402296585326
10,3,Ridge,3,4,0.74999999998125,0.9414801497702554,-0.04550847559997373,2.35833503677801,0.8688929949531335,0.0054948620669267945,0.0006105402296585326
10,4,sparseho_EN,2,4,0.4999999999875,0.8740439451509637,0.261183113427894,3.0752433856453605,0.6495004519196247,0.0003625632275461849,0.0001553842403769364
10,4,HPP_sparseho,2,4,0.4999999999875,0.9138763184799763,0.22805546303446567,3.2131335579004037,0.6786232620402718,0.0003625632275461849,0.0001553842403769364
10,4,EN_manual,1,4,0.24999999999375,0.9788677790312458,0.018843820136109413,4.0839538284118815,0.8625430655517848,0.0003625632275461849,0.0001553842403769364
10,4,Ridge,2,4,0.4999999999875,0.9746612333388254,-0.004313489996581543,4.180343564636387,0.8829008614681857,0.0003625632275461849,0.0001553842403769364
10,5,sparseho_EN,4,4,0.999999999975,0.7648511355816072,0.18650207318879142,6.678125107608788,0.6657974975297882,9e-05,9.999999999999997e-06
10,5,HPP_sparseho,4,4,0.999999999975,0.7894111244153679,0.09997993651424164,7.3883981571728885,0.7366104894013882,9e-05,9.999999999999997e-06
10,5,EN_manual,3,4,0.74999999998125,0.9288547511092072,-0.025893558367208636,8.421712341322444,0.8396301224395525,9e-05,9.999999999999997e-06
10,5,Ridge,4,4,0.999999999975,0.9236435821388801,-0.0395768100122178,8.53404018304474,0.8508290135529304,9e-05,9.999999999999997e-06
10,6,sparseho_EN,4,4,0.999999999975,0.8649036524276618,0.04360393475317548,8.282049310515307,0.7760235603188034,0.001060891771314228,0.00011787686347935863
10,6,HPP_sparseho,3,4,0.74999999998125,0.891043675459636,-0.019973068712598296,8.832603517973752,0.827610193071394,0.001060891771314228,0.00011787686347935863
10,6,EN_manual,3,4,0.74999999998125,0.9542879077132738,-0.13021765755105386,9.787282394388761,0.9170630896746667,0.001060891771314228,0.00011787686347935863
10,6,Ridge,4,4,0.999999999975,0.9581550224745542,-0.14131150157032324,9.883351132591946,0.9260646787090517,0.001060891771314228,0.00011787686347935863
10,7,sparseho_EN,4,4,0.999999999975,0.7993343566974905,0.2003898202327229,3.569478804715719,0.6627596315320751,0.06477171057010368,0.007196856730011519
10,7,HPP_sparseho,4,4,0.999999999975,0.7519371467020526,0.19841206856213167,3.578307535074331,0.6643988977665851,0.06477171057010368,0.007196856730011519
10,7,EN_manual,4,4,0.999999999975,0.8709143832051937,0.023756687228974505,4.357973299184152,0.8091626077673095,0.06477171057010368,0.007196856730011519
10,7,Ridge,4,4,0.999999999975,0.8735955065562087,0.004746278791304626,4.442836213269365,0.8249194498013759,0.06477171057010368,0.007196856730011519
10,8,sparseho_EN,4,4,0.999999999975,0.8281482800712137,0.15054498642829317,7.808394737086263,0.690040254778841,9e-05,9.999999999999997e-06
10,8,HPP_sparseho,4,4,0.999999999975,0.821835003186093,0.16880247795573255,7.640567484933351,0.6752090937356632,9e-05,9.999999999999997e-06
10,8,EN_manual,4,4,0.999999999975,0.9323088443061481,-0.08734349278869469,9.995122838579281,0.8832848930294627,9e-05,9.999999999999997e-06
10,8,Ridge,4,4,0.999999999975,0.9323648072343249,-0.09220832323582395,10.039841529802796,0.8872367548556446,9e-05,9.999999999999997e-06
10,9,sparseho_EN,4,4,0.999999999975,0.866330927303923,0.1486960923962205,2.2925512752153843,0.7061076700353552,0.06477171057010368,0.007196856730011519
10,9,HPP_sparseho,4,4,0.999999999975,0.8097467799342867,0.19616674983138915,2.1647133606160773,0.6667334876579448,0.06477171057010368,0.007196856730011519
10,9,EN_manual,4,4,0.999999999975,0.9173700508480301,-0.0033294876201515056,2.701954349979733,0.8322041523048763,0.06477171057010368,0.007196856730011519
10,9,Ridge,4,4,0.999999999975,0.9115630520542323,-0.015181919235653485,2.733872807033461,0.8420350632140396,0.06477171057010368,0.007196856730011519
