src_type,sparsity,noise_level,run_id,method,track,m,n,n_zero_cols,mse,support_recall,support_precision,rel_err,smooth_err,corr,obs_mse,unobs_mse,obs_relerr,unobs_relerr,unobs_true_norm,unobs_est_norm
pure_sparse,0.662387861832766,0.0,0,EN,phits,8,12,5,362.31831689380675,0.4,0.5,14.05066172747067,1.2779986080309926,0.027163306012357533,619.3652009453456,2.4526792216524025,21.07679789016968,1.0,3.5019132068430836,0.0
pure_sparse,0.662387861832766,0.0,0,Lasso,phits,8,12,5,359.15181781587336,0.2,0.5,13.989128758861337,1.278008933036531,0.0272831115435372,613.9369168117455,2.4526792216524025,20.98423324989067,1.0,3.5019132068430836,0.0
pure_sparse,0.662387861832766,0.0,0,Ridge,phits,8,12,5,83713.62953139113,0.4,0.5,213.57465770139822,0.985777859740513,0.001928152648182823,143507.32728294077,2.4526792216524025,320.8250485282122,1.0,3.5019132068430836,0.0
pure_sparse,0.662387861832766,0.0,0,OMP,phits,8,12,5,367.26561987359497,0.2,0.5,14.14626439443825,1.2780098162406208,0.0269797240682685,627.8462917678397,2.4526792216524025,21.220611638241934,1.0,3.5019132068430836,0.0
pure_sparse,0.7326667463958407,0.0,1,EN,phits,8,12,5,0.28664154625959576,0.75,0.6,0.3839905486147229,0.6181918994517497,0.9233384122370695,2.112602159172665e-05,0.6879101345928014,0.002726819293010549,1.0,1.8546025646925022,0.0
pure_sparse,0.7326667463958407,0.0,1,Lasso,phits,8,12,5,0.2866432864242134,0.75,1.0,0.38399171419201067,0.6182023495113834,0.9233382269660186,2.4109160936239662e-05,0.6879101345928014,0.002912986999786998,1.0,1.8546025646925022,0.0
pure_sparse,0.7326667463958407,0.0,1,Ridge,phits,8,12,5,580.3841171213684,0.75,0.6,17.2786069485394,0.23836706441725256,0.03848673581088906,994.4528363976366,0.6879101345928014,18.70852694801692,1.0,1.8546025646925022,0.0
pure_sparse,0.7326667463958407,0.0,1,OMP,phits,8,12,5,2318.4136771659037,0.5,0.6666666666666666,34.53396393231151,0.9582125315463829,0.014008190599312326,3973.9320821882684,0.6879101345928014,37.39880441144302,1.0,1.8546025646925022,0.0
pure_sparse,0.884494232913148,0.0,2,EN,phits,8,12,5,0.48919334135179793,0.5,0.5,0.7686944464506263,1.3022914081614996,0.6550431806866933,0.028349712478552967,1.134374421774341,0.21576201395210795,1.0,2.381569253427602,0.0
pure_sparse,0.884494232913148,0.0,2,Lasso,phits,8,12,5,0.5181135273843888,0.5,1.0,0.7910900836498267,1.009175920113195,0.655045117708189,0.07792717424870864,1.134374421774341,0.3577215650053857,1.0,2.381569253427602,0.0
pure_sparse,0.884494232913148,0.0,2,Ridge,phits,8,12,5,0.5615809384784117,0.5,0.5,0.8236062887915782,0.7149035427129733,0.654943812114668,0.15244273612417644,1.134374421774341,0.5003270983493944,1.0,2.381569253427602,0.0
pure_sparse,0.884494232913148,0.0,2,OMP,phits,8,12,5,0.4726560090726421,0.5,1.0,0.7555897655253576,1.7477490172003827,0.655045117708189,0.0,1.134374421774341,0.0,1.0,2.381569253427602,0.0
pure_sparse,0.7211333010785937,0.0,3,EN,phits,8,12,5,0.5109190657569754,0.5,0.6666666666666666,0.8156652101798927,1.2605077466289476,0.63037301456485,0.29029014040798845,0.8197995612455571,0.6302125820041573,1.0,2.0245981838942226,0.0
pure_sparse,0.7211333010785937,0.0,3,Lasso,phits,8,12,5,0.3415831505262455,0.5,1.0,0.6669359138348067,1.260520515835592,0.7451150829547183,1.2451514845069834e-11,0.8197995612455571,4.127451912123036e-06,1.0,2.0245981838942226,0.0
pure_sparse,0.7211333010785937,0.0,3,Ridge,phits,8,12,5,12734.951858240056,0.5,0.6666666666666666,128.77588352144517,1.258751017727547,0.004306745526884516,21830.760471582063,0.8197995612455571,172.82451987699974,1.0,2.0245981838942226,0.0
pure_sparse,0.7211333010785937,0.0,3,OMP,phits,8,12,5,0.34158315051898214,0.5,1.0,0.6669359138277159,1.2605274546065326,0.7451150829548343,0.0,0.8197995612455571,0.0,1.0,2.0245981838942226,0.0
pure_sparse,0.6650925519907525,0.0,4,EN,phits,8,12,5,2.7605076874011876,0.4,0.6666666666666666,1.1207702812473093,1.1998118084647218,0.22773266463828787,1.6364507748780075,4.334187364933641,1.561059600278783,1.0,4.655205347207382,0.0
pure_sparse,0.6650925519907525,0.0,4,Lasso,phits,8,12,5,1.8059114020629468,0.4,1.0,0.9065052968525042,1.1998183247923517,0.4221944419102817,1.245151484511983e-11,4.334187364933641,4.3060503809469245e-06,1.0,4.655205347207382,0.0
pure_sparse,0.6650925519907525,0.0,4,Ridge,phits,8,12,5,40496.868076201215,0.4,0.6666666666666666,135.7478140052902,1.1987544375430577,0.001311507165472696,69420.10656822713,4.334187364933641,321.521966508196,1.0,4.655205347207382,0.0
pure_sparse,0.6650925519907525,0.0,4,OMP,phits,8,12,5,1.8059114020556837,0.4,1.0,0.9065052968506813,1.199817930763474,0.42219444191232364,2.087866616049112e-21,4.334187364933641,5.575956622049006e-11,1.0,4.655205347207382,0.0
pure_sparse,0.8254140028637015,0.0,5,EN,phits,8,12,5,0.118301123304927,0.6666666666666666,0.5,0.3602899264897253,0.5364068921563753,0.9346783139873085,0.03821506394297798,0.23042160641165563,0.16535082649807972,1.0,1.0733629544838401,0.0
pure_sparse,0.8254140028637015,0.0,5,Lasso,phits,8,12,5,0.1414665303404294,0.6666666666666666,1.0,0.39398939895375795,0.5365139317898608,0.9216446218978565,0.07792719028955349,0.23042160641165563,0.23612043989462034,1.0,1.0733629544838401,0.0
pure_sparse,0.8254140028637015,0.0,5,Ridge,phits,8,12,5,0.14945179236015246,0.6666666666666666,0.5,0.404956383551863,0.522925251130853,0.9176213872146852,0.09161621089479308,0.23042160641165563,0.2560207926195724,1.0,1.0733629544838401,0.0
pure_sparse,0.8254140028637015,0.0,5,OMP,phits,8,12,5,0.09600900267152318,0.6666666666666666,1.0,0.3245739528340011,0.5366814772419205,0.945860322215554,1.126944150315731e-31,0.23042160641165563,2.839489529297636e-16,1.0,1.0733629544838401,0.0
pure_sparse,0.8097235784224525,0.0,6,EN,phits,8,12,5,647.919489621447,0.3333333333333333,0.5,25.30807987425335,1.4364064932381988,0.001218134275916073,1109.4302762312211,1.8043883677633616,49.914262054307464,1.0,3.0036547469402683,0.0
pure_sparse,0.8097235784224525,0.0,6,Lasso,phits,8,12,5,828.3053314220862,0.0,0.0,28.615010057551675,1.5423112619330954,3.3577893722861986e-19,1418.6631478894597,1.8043883677633616,56.44354622024394,1.0,3.0036547469402683,0.0
pure_sparse,0.8097235784224525,0.0,6,Ridge,phits,8,12,5,210.5081057604965,0.3333333333333333,0.5,14.425573443230785,1.1011500839372026,0.008911724147780794,359.58218961244876,1.8043883677633616,28.41670601567777,1.0,3.0036547469402683,0.0
pure_sparse,0.8097235784224525,0.0,6,OMP,phits,8,12,5,840.615652673613,0.0,0.0,28.826864770229317,1.5423112619330954,0.0,1439.7665557492198,1.8043883677633616,56.86181114208495,1.0,3.0036547469402683,0.0
pure_sparse,0.8646487058725776,0.0,7,EN,phits,8,12,5,3.6922722014564635,0.6666666666666666,0.6666666666666666,1.5515767399588274,2.121815768707388,0.4066085611065761,5.4758748861505495,1.1952284428847422,1.7561662946169418,1.0,2.4446149419537857,0.0
pure_sparse,0.8646487058725776,0.0,7,Lasso,phits,8,12,5,0.4980118605601755,0.6666666666666666,1.0,0.5698312309164447,2.1218214821509944,0.8217617480416294,1.604262783064067e-08,1.1952284428847422,9.505536494220114e-05,1.0,2.4446149419537857,0.0
pure_sparse,0.8646487058725776,0.0,7,Ridge,phits,8,12,5,78896.30120163555,0.6666666666666666,0.5,226.80609783754758,2.1093693838555634,0.0029639723414026636,135249.9483253446,1.1952284428847422,275.99895213832355,1.0,2.4446149419537857,0.0
pure_sparse,0.8646487058725776,0.0,7,OMP,phits,8,12,5,0.49801185120197594,0.6666666666666666,1.0,0.5698312255625618,2.121990794011234,0.8217617503716445,8.351466464217577e-21,1.1952284428847422,6.858359561989383e-11,1.0,2.4446149419537857,0.0
pure_sparse,0.8169895211023082,0.0,8,EN,phits,8,12,5,0.3155509965742718,0.3333333333333333,0.5,0.5462978440862004,0.692201313533233,0.8375909894996689,1.8965985319434721e-06,0.7573197365403077,0.001221261004402943,1.0,1.9459184676397772,0.0
pure_sparse,0.8169895211023082,0.0,8,Lasso,phits,8,12,5,0.31554989022548835,0.3333333333333333,1.0,0.5462968864018776,0.692223890409025,0.8375916140387001,6.174352556051032e-13,0.7573197365403077,6.968134053331992e-07,1.0,1.9459184676397772,0.0
pure_sparse,0.8169895211023082,0.0,8,Ridge,phits,8,12,5,2.137498256213462,0.3333333333333333,0.5,1.4218297371007227,0.6769562115694914,0.4472556231165126,3.123340055980001,0.7573197365403077,1.567221642763248,1.0,1.9459184676397772,0.0
pure_sparse,0.8169895211023082,0.0,8,OMP,phits,8,12,5,0.3155498902251282,0.3333333333333333,1.0,0.5462968864015658,0.6922249298856713,0.8375916140387001,1.126944150315731e-31,0.7573197365403077,2.976953025513985e-16,1.0,1.9459184676397772,0.0
pure_sparse,0.6975097178206423,0.0,9,EN,phits,8,12,5,0.29597004874117444,0.75,1.0,0.5988747244941041,0.647853702244745,0.8179875508666679,0.33023316261696245,0.24800168931507124,0.5165721423333958,1.0,1.1135566651838407,0.0
pure_sparse,0.6975097178206423,0.0,9,Lasso,phits,8,12,5,0.5238795527325503,0.5,1.0,0.7967605561770961,0.6533621681650179,0.604313420516202,0.720935169459321,0.24800168931507124,0.7632533974228319,1.0,1.1135566651838407,0.0
pure_sparse,0.6975097178206423,0.0,9,Ridge,phits,8,12,5,0.20537938695522753,0.75,1.0,0.498873607618805,0.7429915966920966,0.9080100090955795,0.1749348852696249,0.24800168931507124,0.37597489978213045,1.0,1.1135566651838407,0.0
