kappa_target,kappa_actual,src_type,sparsity,noise_level,run_id,method,track,m,n,mse,support_recall,support_precision,rel_err,smooth_err,corr
50,30.112224705039228,pure_sparse,0.662387861832766,0.0,0,EN,simulation,8,10,0.002868856070590514,1.0,0.8,0.09223682573730975,0.03788164785033036,0.9958197424330842
50,30.112224705039228,pure_sparse,0.662387861832766,0.0,0,Lasso,simulation,8,10,0.002840686289984447,1.0,0.8,0.09178286414889626,0.037690601801002255,0.9958614271377448
50,30.112224705039228,pure_sparse,0.662387861832766,0.0,0,Ridge,simulation,8,10,0.07098034905446203,1.0,0.4,0.45879537767598544,0.32603210269657645,0.896424516823302
50,30.112224705039228,pure_sparse,0.662387861832766,0.0,0,OMP,simulation,8,10,0.31157760092657744,0.5,0.5,0.9612427626050235,1.044387286459352,0.6030014731396522
50,24.891910692158064,pure_sparse,0.7326667463958407,0.0,1,EN,simulation,8,10,0.0005168721999164654,1.0,0.75,0.016366474844133536,0.038010702725969736,0.9998664615129731
50,24.891910692158064,pure_sparse,0.7326667463958407,0.0,1,Lasso,simulation,8,10,0.0008595209123902897,1.0,0.75,0.021105312356285284,0.0491696443073073,0.9997776249657844
50,24.891910692158064,pure_sparse,0.7326667463958407,0.0,1,Ridge,simulation,8,10,0.013276746905743087,1.0,0.3,0.08294866455279927,0.12943495700686913,0.9967002228433168
50,24.891910692158064,pure_sparse,0.7326667463958407,0.0,1,OMP,simulation,8,10,1.776780557634975,0.3333333333333333,0.25,0.9595783853894903,2.8015668121257664,0.5502855124133383
50,35.24316800422386,pure_sparse,0.884494232913148,0.0,2,EN,simulation,8,10,1.4490865719080015e-08,1.0,0.5,0.0002653915448623359,0.00017548427957359003,0.9999999966897078
50,35.24316800422386,pure_sparse,0.884494232913148,0.0,2,Lasso,simulation,8,10,9.399662532612053e-08,1.0,1.0,0.0006759211677309437,0.0007830332810637719,0.999999955195034
50,35.24316800422386,pure_sparse,0.884494232913148,0.0,2,Ridge,simulation,8,10,0.04003661685856133,1.0,0.2,0.44113204017411256,0.005532743508301463,0.922267580884286
50,35.24316800422386,pure_sparse,0.884494232913148,0.0,2,OMP,simulation,8,10,0.1377151229012015,0.5,0.25,0.8181458532277956,0.5961007648637575,0.578576838257248
50,45.35216981760176,pure_sparse,0.7211333010785937,0.0,3,EN,simulation,8,10,6.536566377539178e-05,1.0,0.6,0.006947372256165058,0.00901810066086317,0.9999814926478662
50,45.35216981760176,pure_sparse,0.7211333010785937,0.0,3,Lasso,simulation,8,10,0.00036262521805953656,1.0,0.75,0.016363444718867463,0.008473391697948696,0.9998700819199666
50,45.35216981760176,pure_sparse,0.7211333010785937,0.0,3,Ridge,simulation,8,10,1.4543513133511579,1.0,0.3,1.0362878251348957,0.9827073039003037,0.6190799320614818
50,45.35216981760176,pure_sparse,0.7211333010785937,0.0,3,OMP,simulation,8,10,3.944304526105059e-32,1.0,1.0,1.7065968948779587e-16,6.661338147750939e-16,1.0
50,36.03675821614694,pure_sparse,0.6650925519907525,0.0,4,EN,simulation,8,10,6.320736336868636e-05,1.0,0.5714285714285714,0.007186833256330751,0.014084540874990262,0.9999742606585366
50,36.03675821614694,pure_sparse,0.6650925519907525,0.0,4,Lasso,simulation,8,10,1.687970111302663e-05,1.0,0.6666666666666666,0.0037139504707594077,0.007264286116640799,0.9999931336355008
50,36.03675821614694,pure_sparse,0.6650925519907525,0.0,4,Ridge,simulation,8,10,0.0799098172737525,1.0,0.4,0.25553700496003595,0.6566037361470725,0.9677932987862053
50,36.03675821614694,pure_sparse,0.6650925519907525,0.0,4,OMP,simulation,8,10,0.28417835259587243,0.5,0.5,0.4818914575408543,1.2908128642766563,0.8998005978524561
50,32.72685053397199,pure_sparse,0.8254140028637015,0.0,5,EN,simulation,8,10,2.333341564883733e-05,1.0,0.4,0.0047607066160412865,0.006368237762852447,0.9999898382599735
50,32.72685053397199,pure_sparse,0.8254140028637015,0.0,5,Lasso,simulation,8,10,3.0217731469553753e-05,1.0,0.5,0.0054176779914926945,0.007769472153397183,0.9999864994488559
50,32.72685053397199,pure_sparse,0.8254140028637015,0.0,5,Ridge,simulation,8,10,0.24224061545125078,1.0,0.2,0.4850714794224512,0.5977335424762409,0.8857256515081857
50,32.72685053397199,pure_sparse,0.8254140028637015,0.0,5,OMP,simulation,8,10,2.465190328815662e-32,1.0,1.0,1.5474174404681104e-16,2.220446049250313e-16,1.0
